gm_set,gm_id,path,dt,npts,pga_g
P695_FF22_AT2_original,HEC090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/HECTOR/HEC090.AT2,0.01,4531.0,0.336769
P695_FF22_AT2_original,HECVER,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/HECTOR/HECVER.AT2,0.01,4531.0,0.150246
P695_FF22_AT2_original,H-DLT262,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-DLT262.AT2,0.01,9992.0,0.237759
P695_FF22_AT2_original,H-DLT352,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-DLT352.AT2,0.01,9992.0,0.351119
P695_FF22_AT2_original,H-DLTDWN,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-DLTDWN.AT2,0.01,9992.0,0.144955
P695_FF22_AT2_original,H-E11-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-E11-UP.AT2,0.005,7807.0,0.140297
P695_FF22_AT2_original,H-E11140,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-E11140.AT2,0.005,7807.0,0.363978
P695_FF22_AT2_original,H-E11230,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-E11230.AT2,0.005,7807.0,0.379579
P695_FF22_AT2_original,KAK-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/KAK-UP.AT2,0.01,4096.0,0.157885
P695_FF22_AT2_original,KAK000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/KAK000.AT2,0.01,4096.0,0.251447
P695_FF22_AT2_original,KAK090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/KAK090.AT2,0.01,4096.0,0.34472
P695_FF22_AT2_original,NIS-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/NIS-UP.AT2,0.01,4096.0,0.37073
P695_FF22_AT2_original,NIS000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/NIS000.AT2,0.01,4096.0,0.509338
P695_FF22_AT2_original,NIS090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/NIS090.AT2,0.01,4096.0,0.502749
P695_FF22_AT2_original,SHI-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/SHI-UP.AT2,0.01,4096.0,0.058747
P695_FF22_AT2_original,SHI000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/SHI000.AT2,0.01,4096.0,0.243233
P695_FF22_AT2_original,SHI090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOBE/SHI090.AT2,0.01,4096.0,0.211916
P695_FF22_AT2_original,ARC000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARC000.AT2,0.005,6000.0,0.218836
P695_FF22_AT2_original,ARC090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARC090.AT2,0.005,6000.0,0.1499
P695_FF22_AT2_original,ARCDWN,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARCDWN.AT2,0.005,6000.0,0.0857096
P695_FF22_AT2_original,DZC-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/DZC-UP.AT2,0.005,5437.0,0.229203
P695_FF22_AT2_original,DZC180,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/DZC180.AT2,0.005,5437.0,0.312128
P695_FF22_AT2_original,DZC270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/DZC270.AT2,0.005,5437.0,0.357876
P695_FF22_AT2_original,B-POE270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/B-POE270.AT2,0.01,2230.0,0.446326
P695_FF22_AT2_original,B-POE360,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/B-POE360.AT2,0.01,2230.0,0.300292
P695_FF22_AT2_original,CLW-LN,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/CLW-LN.AT2,0.0025,11186.0,0.282825
P695_FF22_AT2_original,CLW-TR,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/CLW-TR.AT2,0.0025,11186.0,0.41689
P695_FF22_AT2_original,CLW-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/CLW-UP.AT2,0.0025,11186.0,0.173583
P695_FF22_AT2_original,JOS-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/JOS-UP.AT2,0.02,2200.0,0.181315
P695_FF22_AT2_original,JOS000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/JOS000.AT2,0.02,2200.0,0.273697
P695_FF22_AT2_original,JOS090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/JOS090.AT2,0.02,2200.0,0.284031
P695_FF22_AT2_original,YER-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/YER-UP.AT2,0.02,2200.0,0.135889
P695_FF22_AT2_original,YER270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/YER270.AT2,0.02,2200.0,0.244803
P695_FF22_AT2_original,YER360,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/YER360.AT2,0.02,2200.0,0.151528
P695_FF22_AT2_original,CAP-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/CAP-UP.AT2,0.005,7991.0,0.54108
